"date","home.team","home.score","away.team","away.score"
2010-08-28,"Hercules",0,"Ath Bilbao",1
2010-08-28,"Levante",1,"Sevilla",4
2010-08-28,"Malaga",1,"Valencia",3
2010-08-29,"Espanol",3,"Getafe",1
2010-08-29,"La Coruna",0,"Zaragoza",0
2010-08-29,"Mallorca",0,"Real Madrid",0
2010-08-29,"Osasuna",0,"Almeria",0
2010-08-29,"Santander",0,"Barcelona",3
2010-08-29,"Sociedad",1,"Villarreal",0
2010-08-30,"Ath Madrid",4,"Sp Gijon",0
2010-09-11,"Ath Bilbao",1,"Ath Madrid",2
2010-09-11,"Barcelona",0,"Hercules",2
2010-09-11,"Real Madrid",1,"Osasuna",0
2010-09-11,"Valencia",1,"Santander",0
2010-09-12,"Getafe",4,"Levante",1
2010-09-12,"Sevilla",0,"La Coruna",0
2010-09-12,"Sp Gijon",2,"Mallorca",0
2010-09-12,"Villarreal",4,"Espanol",0
2010-09-12,"Zaragoza",3,"Malaga",5
2010-09-13,"Almeria",2,"Sociedad",2
2010-09-18,"Espanol",1,"Almeria",0
2010-09-18,"Mallorca",2,"Osasuna",0
2010-09-18,"Sociedad",1,"Real Madrid",2
2010-09-18,"Sp Gijon",2,"Ath Bilbao",2
2010-09-19,"Ath Madrid",1,"Barcelona",2
2010-09-19,"Hercules",1,"Valencia",2
2010-09-19,"Levante",1,"Villarreal",2
2010-09-19,"Malaga",1,"Sevilla",2
2010-09-19,"Santander",2,"Zaragoza",0
2010-09-20,"La Coruna",2,"Getafe",2
2010-09-21,"Ath Bilbao",3,"Mallorca",0
2010-09-21,"Osasuna",3,"Sociedad",1
2010-09-21,"Real Madrid",3,"Espanol",0
2010-09-22,"Almeria",0,"Levante",1
2010-09-22,"Barcelona",1,"Sp Gijon",0
2010-09-22,"Valencia",1,"Ath Madrid",1
2010-09-22,"Zaragoza",0,"Hercules",0
2010-09-23,"Getafe",0,"Malaga",2
2010-09-23,"Sevilla",1,"Santander",1
2010-09-23,"Villarreal",1,"La Coruna",0
2010-09-25,"Ath Bilbao",1,"Barcelona",3
2010-09-25,"Levante",0,"Real Madrid",0
2010-09-25,"Sp Gijon",0,"Valencia",2
2010-09-26,"Ath Madrid",1,"Zaragoza",0
2010-09-26,"Espanol",1,"Osasuna",0
2010-09-26,"Hercules",2,"Sevilla",0
2010-09-26,"La Coruna",0,"Almeria",2
2010-09-26,"Mallorca",2,"Sociedad",0
2010-09-26,"Santander",0,"Getafe",1
2010-09-27,"Malaga",2,"Villarreal",3
2010-10-02,"Sociedad",1,"Espanol",0
2010-10-02,"Valencia",2,"Ath Bilbao",1
2010-10-02,"Zaragoza",2,"Sp Gijon",2
2010-10-03,"Almeria",1,"Malaga",1
2010-10-03,"Barcelona",1,"Mallorca",1
2010-10-03,"Getafe",3,"Hercules",0
2010-10-03,"Osasuna",1,"Levante",1
2010-10-03,"Real Madrid",6,"La Coruna",1
2010-10-03,"Sevilla",3,"Ath Madrid",1
2010-10-03,"Villarreal",2,"Santander",0
2010-10-16,"Ath Madrid",2,"Getafe",0
2010-10-16,"Barcelona",2,"Valencia",1
2010-10-16,"Malaga",1,"Real Madrid",4
2010-10-17,"Ath Bilbao",2,"Zaragoza",1
2010-10-17,"La Coruna",0,"Osasuna",0
2010-10-17,"Levante",2,"Sociedad",1
2010-10-17,"Mallorca",0,"Espanol",1
2010-10-17,"Santander",1,"Almeria",0
2010-10-17,"Sp Gijon",2,"Sevilla",0
2010-10-18,"Hercules",2,"Villarreal",2
2010-10-23,"Real Madrid",6,"Santander",1
2010-10-23,"Valencia",1,"Mallorca",2
2010-10-23,"Zaragoza",0,"Barcelona",2
2010-10-24,"Almeria",1,"Hercules",1
2010-10-24,"Espanol",2,"Levante",1
2010-10-24,"Getafe",3,"Sp Gijon",0
2010-10-24,"Osasuna",3,"Malaga",0
2010-10-24,"Sevilla",4,"Ath Bilbao",3
2010-10-24,"Villarreal",2,"Ath Madrid",0
2010-10-25,"Sociedad",3,"La Coruna",0
2010-10-30,"Barcelona",5,"Sevilla",0
2010-10-30,"Hercules",1,"Real Madrid",3
2010-10-30,"Valencia",1,"Zaragoza",1
2010-10-31,"Ath Bilbao",3,"Getafe",0
2010-10-31,"Ath Madrid",1,"Almeria",1
2010-10-31,"La Coruna",3,"Espanol",0
2010-10-31,"Malaga",1,"Sociedad",2
2010-10-31,"Santander",4,"Osasuna",1
2010-10-31,"Sp Gijon",1,"Villarreal",1
2010-11-01,"Mallorca",2,"Levante",1
2010-11-06,"Espanol",1,"Malaga",0
2010-11-06,"Sociedad",1,"Santander",0
2010-11-07,"Almeria",1,"Sp Gijon",1
2010-11-07,"Getafe",1,"Barcelona",3
2010-11-07,"Levante",1,"La Coruna",2
2010-11-07,"Osasuna",3,"Hercules",0
2010-11-07,"Real Madrid",2,"Ath Madrid",0
2010-11-07,"Villarreal",4,"Ath Bilbao",1
2010-11-07,"Zaragoza",3,"Mallorca",2
2010-11-08,"Sevilla",2,"Valencia",0
2010-11-13,"Ath Bilbao",1,"Almeria",0
2010-11-13,"Ath Madrid",3,"Osasuna",0
2010-11-13,"Barcelona",3,"Villarreal",1
2010-11-14,"Hercules",2,"Sociedad",1
2010-11-14,"Malaga",1,"Levante",0
2010-11-14,"Mallorca",0,"La Coruna",0
2010-11-14,"Santander",0,"Espanol",0
2010-11-14,"Sp Gijon",0,"Real Madrid",1
2010-11-14,"Valencia",2,"Getafe",0
2010-11-14,"Zaragoza",1,"Sevilla",2
2010-11-20,"Almeria",0,"Barcelona",8
2010-11-20,"Real Madrid",5,"Ath Bilbao",1
2010-11-20,"Villarreal",1,"Valencia",1
2010-11-21,"Espanol",3,"Hercules",0
2010-11-21,"La Coruna",3,"Malaga",0
2010-11-21,"Levante",3,"Santander",1
2010-11-21,"Osasuna",1,"Sp Gijon",0
2010-11-21,"Sevilla",1,"Mallorca",2
2010-11-21,"Sociedad",2,"Ath Madrid",4
2010-11-22,"Getafe",1,"Zaragoza",1
2010-11-27,"Ath Madrid",2,"Espanol",3
2010-11-27,"Sevilla",1,"Getafe",3
2010-11-27,"Zaragoza",0,"Villarreal",3
2010-11-28,"Ath Bilbao",1,"Osasuna",0
2010-11-28,"Hercules",3,"Levante",1
2010-11-28,"Mallorca",2,"Malaga",0
2010-11-28,"Santander",1,"La Coruna",0
2010-11-28,"Sp Gijon",1,"Sociedad",3
2010-11-28,"Valencia",2,"Almeria",1
2010-11-29,"Barcelona",5,"Real Madrid",0
2010-12-04,"Levante",2,"Ath Madrid",0
2010-12-04,"Osasuna",0,"Barcelona",3
2010-12-04,"Real Madrid",2,"Valencia",0
2010-12-05,"Almeria",1,"Zaragoza",1
2010-12-05,"Espanol",1,"Sp Gijon",0
2010-12-05,"Getafe",3,"Mallorca",0
2010-12-05,"Malaga",4,"Santander",1
2010-12-05,"Sociedad",2,"Ath Bilbao",0
2010-12-05,"Villarreal",1,"Sevilla",0
2010-12-06,"La Coruna",1,"Hercules",0
2010-12-11,"Ath Madrid",2,"La Coruna",0
2010-12-11,"Getafe",1,"Villarreal",0
2010-12-11,"Sevilla",1,"Almeria",3
2010-12-12,"Ath Bilbao",2,"Espanol",1
2010-12-12,"Barcelona",5,"Sociedad",0
2010-12-12,"Hercules",4,"Malaga",1
2010-12-12,"Mallorca",0,"Santander",1
2010-12-12,"Sp Gijon",1,"Levante",1
2010-12-12,"Zaragoza",1,"Real Madrid",3
2010-12-13,"Valencia",3,"Osasuna",3
2010-12-18,"Espanol",1,"Barcelona",5
2010-12-18,"La Coruna",1,"Sp Gijon",1
2010-12-18,"Levante",1,"Ath Bilbao",2
2010-12-18,"Sociedad",1,"Valencia",2
2010-12-18,"Villarreal",3,"Mallorca",1
2010-12-19,"Almeria",2,"Getafe",3
2010-12-19,"Malaga",0,"Ath Madrid",3
2010-12-19,"Osasuna",0,"Zaragoza",0
2010-12-19,"Real Madrid",1,"Sevilla",0
2010-12-20,"Santander",0,"Hercules",0
2011-01-02,"Ath Bilbao",1,"La Coruna",2
2011-01-02,"Barcelona",2,"Levante",1
2011-01-02,"Sevilla",1,"Osasuna",0
2011-01-02,"Sp Gijon",1,"Malaga",2
2011-01-02,"Valencia",2,"Espanol",1
2011-01-03,"Ath Madrid",0,"Santander",0
2011-01-03,"Getafe",2,"Real Madrid",3
2011-01-03,"Mallorca",3,"Hercules",0
2011-01-03,"Villarreal",2,"Almeria",0
2011-01-03,"Zaragoza",2,"Sociedad",1
2011-01-08,"La Coruna",0,"Barcelona",4
2011-01-08,"Malaga",1,"Ath Bilbao",1
2011-01-08,"Sociedad",2,"Sevilla",3
2011-01-09,"Espanol",4,"Zaragoza",0
2011-01-09,"Levante",0,"Valencia",1
2011-01-09,"Mallorca",4,"Almeria",1
2011-01-09,"Osasuna",0,"Getafe",0
2011-01-09,"Real Madrid",4,"Villarreal",2
2011-01-09,"Santander",1,"Sp Gijon",1
2011-01-10,"Hercules",4,"Ath Madrid",1
2011-01-15,"Ath Bilbao",2,"Santander",1
2011-01-15,"Getafe",0,"Sociedad",4
2011-01-15,"Sevilla",1,"Espanol",2
2011-01-15,"Sp Gijon",2,"Hercules",0
2011-01-15,"Villarreal",4,"Osasuna",2
2011-01-15,"Zaragoza",1,"Levante",0
2011-01-16,"Almeria",1,"Real Madrid",1
2011-01-16,"Barcelona",4,"Malaga",1
2011-01-16,"Valencia",2,"La Coruna",0
2011-01-17,"Ath Madrid",3,"Mallorca",0
2011-01-22,"Barcelona",3,"Santander",0
2011-01-22,"Sevilla",4,"Levante",1
2011-01-22,"Valencia",4,"Malaga",3
2011-01-23,"Almeria",3,"Osasuna",2
2011-01-23,"Getafe",1,"Espanol",3
2011-01-23,"Real Madrid",1,"Mallorca",0
2011-01-23,"Sp Gijon",1,"Ath Madrid",0
2011-01-23,"Villarreal",2,"Sociedad",1
2011-01-23,"Zaragoza",1,"La Coruna",0
2011-01-24,"Ath Bilbao",3,"Hercules",0
2011-01-29,"Hercules",0,"Barcelona",3
2011-01-29,"La Coruna",3,"Sevilla",3
2011-01-29,"Levante",2,"Getafe",0
