"date","home.team","home.score","away.team","away.score"
2017-08-18,"Leganes",1,"Alaves",0
2017-08-18,"Valencia",1,"Las Palmas",0
2017-08-19,"Celta",2,"Sociedad",3
2017-08-19,"Girona",2,"Ath Madrid",2
2017-08-19,"Sevilla",1,"Espanol",1
2017-08-20,"Ath Bilbao",0,"Getafe",0
2017-08-20,"Barcelona",2,"Betis",0
2017-08-20,"La Coruna",0,"Real Madrid",3
2017-08-21,"Levante",1,"Villarreal",0
2017-08-21,"Malaga",0,"Eibar",1
2017-08-25,"Betis",2,"Celta",1
2017-08-25,"Sociedad",3,"Villarreal",0
2017-08-26,"Alaves",0,"Barcelona",2
2017-08-26,"Girona",1,"Malaga",0
2017-08-26,"Las Palmas",1,"Ath Madrid",5
2017-08-26,"Levante",2,"La Coruna",2
2017-08-27,"Eibar",0,"Ath Bilbao",1
2017-08-27,"Espanol",0,"Leganes",1
2017-08-27,"Getafe",0,"Sevilla",1
2017-08-27,"Real Madrid",2,"Valencia",2
2017-09-08,"Leganes",1,"Getafe",2
2017-09-09,"Barcelona",5,"Espanol",0
2017-09-09,"Real Madrid",1,"Levante",1
2017-09-09,"Sevilla",3,"Eibar",0
2017-09-09,"Valencia",0,"Ath Madrid",0
2017-09-10,"Ath Bilbao",2,"Girona",0
2017-09-10,"Celta",1,"Alaves",0
2017-09-10,"La Coruna",2,"Sociedad",4
2017-09-10,"Villarreal",3,"Betis",1
2017-09-11,"Malaga",1,"Las Palmas",3
2017-09-15,"Eibar",1,"Leganes",0
2017-09-16,"Ath Madrid",1,"Malaga",0
2017-09-16,"Betis",2,"La Coruna",1
2017-09-16,"Getafe",1,"Barcelona",2
2017-09-16,"Levante",1,"Valencia",1
2017-09-17,"Alaves",0,"Villarreal",3
2017-09-17,"Girona",0,"Sevilla",1
2017-09-17,"Las Palmas",1,"Ath Bilbao",0
2017-09-17,"Sociedad",1,"Real Madrid",3
2017-09-18,"Espanol",2,"Celta",1
2017-09-19,"Barcelona",6,"Eibar",1
2017-09-19,"Valencia",5,"Malaga",0
2017-09-20,"Ath Bilbao",1,"Ath Madrid",2
2017-09-20,"La Coruna",1,"Alaves",0
2017-09-20,"Leganes",0,"Girona",0
2017-09-20,"Real Madrid",0,"Betis",1
2017-09-20,"Sevilla",1,"Las Palmas",0
2017-09-21,"Celta",1,"Getafe",1
2017-09-21,"Levante",3,"Sociedad",0
2017-09-21,"Villarreal",0,"Espanol",0
2017-09-23,"Alaves",1,"Real Madrid",2
2017-09-23,"Ath Madrid",2,"Sevilla",0
2017-09-23,"Girona",0,"Barcelona",3
2017-09-23,"Malaga",3,"Ath Bilbao",3
2017-09-24,"Eibar",0,"Celta",4
2017-09-24,"Espanol",4,"La Coruna",1
2017-09-24,"Getafe",4,"Villarreal",0
2017-09-24,"Las Palmas",0,"Leganes",2
2017-09-24,"Sociedad",2,"Valencia",3
2017-09-25,"Betis",4,"Levante",0
2017-09-29,"Celta",3,"Girona",3
2017-09-30,"La Coruna",2,"Getafe",1
2017-09-30,"Leganes",0,"Ath Madrid",0
2017-09-30,"Levante",0,"Alaves",2
2017-09-30,"Sevilla",2,"Malaga",0
2017-10-01,"Barcelona",3,"Las Palmas",0
2017-10-01,"Real Madrid",2,"Espanol",0
2017-10-01,"Sociedad",4,"Betis",4
2017-10-01,"Valencia",3,"Ath Bilbao",2
2017-10-01,"Villarreal",3,"Eibar",0
2017-10-13,"Espanol",0,"Levante",0
2017-10-14,"Alaves",0,"Sociedad",2
2017-10-14,"Ath Bilbao",1,"Sevilla",0
